********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[00:04:03, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/0AA47E5D.vdb'
[00:04:07, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:05:42, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/69E6837F.vdb'
[00:05:51, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:06:23, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/0AEECB7C.vdb'
[00:08:14, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:08:34, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/063BA63F.vdb'
[00:08:45, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:09:21, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1D4A6696.vdb'
[00:11:15, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:11:46, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1DEB7F1E.vdb'
[00:11:49, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:41:15, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1476B0AB.vdb'
[00:41:21, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:41:31, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/5E01CD35.vdb'
[00:41:39, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:43:07, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/6F637ED7.vdb'
[00:43:24, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:59:52, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/551FEB21.vdb'
